Date,White,African-American,Hispanic
1/1/2020,3,6.1,4.3
2/1/2020,3,6,4.4
3/1/2020,3.9,6.8,6
4/1/2020,14.1,16.7,18.9
5/1/2020,12.3,16.7,17.6
6/1/2020,10.1,15.3,14.5
7/1/2020,9.2,14.4,12.7
8/1/2020,7.4,12.8,10.5
9/1/2020,7,12,10.3
10/1/2020,6,10.8,8.8
11/1/2020,5.9,10.3,8.4
12/1/2020,6,9.9,9.3
1/1/2021,5.7,9.2,8.6
2/1/2021,5.6,9.9,8.5
3/1/2021,5.4,9.6,7.9
4/1/2021,5.3,9.7,7.9
5/1/2021,5.1,9.1,7.3
6/1/2021,5.2,9.2,7.4
7/1/2021,4.8,8.2,6.6
8/1/2021,4.5,8.8,6.4
9/1/2021,4.2,7.9,6.3
10/1/2021,4,7.9,5.9
,,,
