Date,White,African-American,Hispanic
Jan-20,3123,1290,1459
Feb-20,3037,1201,1385
Mar-20,3472,1348,1757
Apr-20,12308,2936,5020
May-20,10465,3057,4756
Jun-20,9052,2840,4076
Jul-20,8390,2888,3598
Aug-20,6603,2480,2972
Sep-20,5990,2134,2768
Oct-20,5042,1978,2420
Nov-20,4954,1854,2341
Dec-20,5034,1735,2636
Jan-21,5211,1841,2649
Feb-21,5046,1932,2535
Mar-21,4788,1815,2301
Apr-21,4352,1758,2112
May-21,4259,1688,1925
Jun-21,4858,1829,2064
Jul-21,4567,1740,1866
Aug-21,4137,1805,1736
Sep-21,3447,1432,1693
Oct-21,3123,1505,1530
,,,
